,Year,From,To,Score
314,2013,Azerbaijan,Lithuania,3
315,2013,Azerbaijan,Moldova,1
316,2013,Azerbaijan,Finland,0
317,2013,Azerbaijan,Spain,0
318,2013,Azerbaijan,Belgium,0
319,2013,Azerbaijan,Estonia,0
320,2013,Azerbaijan,Belarus,7
321,2013,Azerbaijan,Malta,8
322,2013,Azerbaijan,Russia,0
323,2013,Azerbaijan,Germany,0
324,2013,Azerbaijan,Armenia,0
325,2013,Azerbaijan,Netherlands,0
326,2013,Azerbaijan,Romania,6
327,2013,Azerbaijan,United Kingdom,0
328,2013,Azerbaijan,Sweden,0
329,2013,Azerbaijan,Hungary,0
330,2013,Azerbaijan,Denmark,5
331,2013,Azerbaijan,Iceland,0
333,2013,Azerbaijan,Greece,4
334,2013,Azerbaijan,Ukraine,12
335,2013,Azerbaijan,Italy,0
336,2013,Azerbaijan,Norway,2
337,2013,Azerbaijan,Georgia,10
338,2013,Azerbaijan,Ireland,0
339,2013,Norway,France,0
340,2013,Norway,Lithuania,0
341,2013,Norway,Moldova,0
342,2013,Norway,Finland,0
343,2013,Norway,Spain,0
344,2013,Norway,Belgium,3
345,2013,Norway,Estonia,0
346,2013,Norway,Belarus,0
347,2013,Norway,Malta,10
348,2013,Norway,Russia,0
349,2013,Norway,Germany,0
350,2013,Norway,Armenia,0
351,2013,Norway,Netherlands,8
352,2013,Norway,Romania,6
353,2013,Norway,United Kingdom,0
354,2013,Norway,Sweden,12
355,2013,Norway,Hungary,2
356,2013,Norway,Denmark,7
357,2013,Norway,Iceland,4
358,2013,Norway,Azerbaijan,0
359,2013,Norway,Greece,5
360,2013,Norway,Ukraine,1
361,2013,Norway,Italy,0
363,2013,Norway,Georgia,0
364,2013,Norway,Ireland,0
365,2013,Armenia,France,2
366,2013,Armenia,Lithuania,0
367,2013,Armenia,Moldova,0
368,2013,Armenia,Finland,0
369,2013,Armenia,Spain,0
370,2013,Armenia,Belgium,0
371,2013,Armenia,Estonia,0
372,2013,Armenia,Belarus,5
373,2013,Armenia,Malta,6
374,2013,Armenia,Russia,7
375,2013,Armenia,Germany,0
377,2013,Armenia,Netherlands,0
378,2013,Armenia,Romania,0
379,2013,Armenia,United Kingdom,0
380,2013,Armenia,Sweden,0
381,2013,Armenia,Hungary,0
382,2013,Armenia,Denmark,4
383,2013,Armenia,Iceland,0
384,2013,Armenia,Azerbaijan,0
385,2013,Armenia,Greece,8
386,2013,Armenia,Ukraine,12
387,2013,Armenia,Italy,1
388,2013,Armenia,Norway,3
389,2013,Armenia,Georgia,10
