Year,From,To,Score
1998,Malta,Spain,0
1998,Malta,Switzerland,0
1998,Malta,Slovakia,0
1998,Malta,Poland,0
1998,Malta,Israel,12
1998,Malta,Germany,0
1998,Malta,Hungary,0
1998,Malta,Slovenia,0
1998,Malta,Ireland,6
1998,Malta,Portugal,2
1998,Malta,Romania,0
1998,Malta,United Kingdom,8
1998,Malta,Cyprus,1
1998,Malta,Netherlands,7
1998,Malta,Sweden,4
1998,Malta,Belgium,3
1998,Malta,Finland,0
1998,Malta,Norway,5
1998,Malta,Estonia,0
1998,Malta,Turkey,0
1998,Malta,Macedonia,0
1998,Netherlands,Croatia,4
1998,Netherlands,Greece,0
1998,Netherlands,France,0
1998,Netherlands,Spain,0
1998,Netherlands,Switzerland,0
1998,Netherlands,Slovakia,0
1998,Netherlands,Poland,0
1998,Netherlands,Israel,6
1998,Netherlands,Germany,12
1998,Netherlands,Malta,8
1998,Netherlands,Hungary,0
1998,Netherlands,Slovenia,0
1998,Netherlands,Ireland,0
1998,Netherlands,Portugal,0
1998,Netherlands,Romania,0
1998,Netherlands,United Kingdom,7
1998,Netherlands,Cyprus,0
1998,Netherlands,Sweden,5
1998,Netherlands,Belgium,10
1998,Netherlands,Finland,0
1998,Netherlands,Norway,3
1998,Netherlands,Estonia,2
1998,Netherlands,Turkey,1
1998,Netherlands,Macedonia,0
1998,Norway,Croatia,6
1998,Norway,Greece,0
1998,Norway,France,0
1998,Norway,Spain,0
1998,Norway,Switzerland,0
1998,Norway,Slovakia,0
1998,Norway,Poland,0
1998,Norway,Israel,3
1998,Norway,Germany,0
1998,Norway,Malta,12
1998,Norway,Hungary,2
1998,Norway,Slovenia,0
1998,Norway,Ireland,4
1998,Norway,Portugal,0
1998,Norway,Romania,0
1998,Norway,United Kingdom,5
1998,Norway,Cyprus,0
1998,Norway,Netherlands,8
1998,Norway,Sweden,10
1998,Norway,Belgium,7
1998,Norway,Finland,1
1998,Norway,Estonia,0
1998,Norway,Turkey,0
1998,Norway,Macedonia,0
1998,Poland,Croatia,6
1998,Poland,Greece,0
1998,Poland,France,0
1998,Poland,Spain,0
1998,Poland,Switzerland,0
1998,Poland,Slovakia,0
1998,Poland,Israel,10
1998,Poland,Germany,0
1998,Poland,Malta,8
1998,Poland,Hungary,0
1998,Poland,Slovenia,0
1998,Poland,Ireland,2
1998,Poland,Portugal,0
1998,Poland,Romania,0
1998,Poland,United Kingdom,7
1998,Poland,Cyprus,0
1998,Poland,Netherlands,5
1998,Poland,Sweden,3
1998,Poland,Belgium,12
1998,Poland,Finland,0
1998,Poland,Norway,4
1998,Poland,Estonia,1
1998,Poland,Turkey,0
1998,Poland,Macedonia,0
1998,Portugal,Croatia,2
1998,Portugal,Greece,0
1998,Portugal,France,0
1998,Portugal,Spain,0
1998,Portugal,Switzerland,0
1998,Portugal,Slovakia,0
1998,Portugal,Poland,0
1998,Portugal,Israel,12
1998,Portugal,Germany,10
1998,Portugal,Malta,5
1998,Portugal,Hungary,0
1998,Portugal,Slovenia,0
1998,Portugal,Ireland,1
1998,Portugal,Romania,0
1998,Portugal,United Kingdom,6
1998,Portugal,Cyprus,4
1998,Portugal,Netherlands,7
1998,Portugal,Sweden,0
1998,Portugal,Belgium,8
1998,Portugal,Finland,0
1998,Portugal,Norway,3
1998,Portugal,Estonia,0
1998,Portugal,Turkey,0
1998,Portugal,Macedonia,0
1998,Romania,Croatia,0
1998,Romania,Greece,0
1998,Romania,France,0
1998,Romania,Spain,0
1998,Romania,Switzerland,0
1998,Romania,Slovakia,0
1998,Romania,Poland,10
1998,Romania,Israel,7
1998,Romania,Germany,6
1998,Romania,Malta,0
1998,Romania,Hungary,1
1998,Romania,Slovenia,5
1998,Romania,Ireland,8
1998,Romania,Portugal,0
1998,Romania,United Kingdom,12
1998,Romania,Cyprus,4
1998,Romania,Netherlands,0
1998,Romania,Sweden,0
1998,Romania,Belgium,0
1998,Romania,Finland,0
1998,Romania,Norway,0
1998,Romania,Estonia,0
1998,Romania,Turkey,2
1998,Romania,Macedonia,3
1998,Slovakia,Croatia,10
1998,Slovakia,Greece,0
1998,Slovakia,France,0
1998,Slovakia,Spain,0
1998,Slovakia,Switzerland,0
1998,Slovakia,Poland,0
1998,Slovakia,Israel,0
1998,Slovakia,Germany,0
1998,Slovakia,Malta,12
1998,Slovakia,Hungary,0
1998,Slovakia,Slovenia,0
1998,Slovakia,Ireland,4
1998,Slovakia,Portugal,2
1998,Slovakia,Romania,0
1998,Slovakia,United Kingdom,1
1998,Slovakia,Cyprus,5
1998,Slovakia,Netherlands,6
1998,Slovakia,Sweden,0
1998,Slovakia,Belgium,7
1998,Slovakia,Finland,0
1998,Slovakia,Norway,0
1998,Slovakia,Estonia,8
1998,Slovakia,Turkey,0
1998,Slovakia,Macedonia,3
1998,Slovenia,Croatia,12
1998,Slovenia,Greece,0
1998,Slovenia,France,0
1998,Slovenia,Spain,0
1998,Slovenia,Switzerland,0
1998,Slovenia,Slovakia,0
1998,Slovenia,Poland,0
1998,Slovenia,Israel,7
1998,Slovenia,Germany,8
1998,Slovenia,Malta,3
1998,Slovenia,Hungary,0
1998,Slovenia,Ireland,1
1998,Slovenia,Portugal,0
1998,Slovenia,Romania,0
1998,Slovenia,United Kingdom,5
1998,Slovenia,Cyprus,0
1998,Slovenia,Netherlands,0
1998,Slovenia,Sweden,0
1998,Slovenia,Belgium,6
1998,Slovenia,Finland,0
1998,Slovenia,Norway,10
1998,Slovenia,Estonia,2
1998,Slovenia,Turkey,0
1998,Slovenia,Macedonia,4
1998,Spain,Croatia,1
1998,Spain,Greece,0
1998,Spain,France,0
1998,Spain,Switzerland,0
1998,Spain,Slovakia,0
1998,Spain,Poland,0
1998,Spain,Israel,10
1998,Spain,Germany,12
1998,Spain,Malta,5
1998,Spain,Hungary,0
1998,Spain,Slovenia,0
1998,Spain,Ireland,0
1998,Spain,Portugal,6
1998,Spain,Romania,0
1998,Spain,United Kingdom,3
1998,Spain,Cyprus,0
1998,Spain,Netherlands,4
1998,Spain,Sweden,0
1998,Spain,Belgium,7
1998,Spain,Finland,0
1998,Spain,Norway,8
1998,Spain,Estonia,2
1998,Spain,Turkey,0
1998,Spain,Macedonia,0
1998,Sweden,Croatia,3
1998,Sweden,Greece,0
1998,Sweden,France,0
1998,Sweden,Spain,0
1998,Sweden,Switzerland,0
1998,Sweden,Slovakia,0
1998,Sweden,Poland,0
1998,Sweden,Israel,5
1998,Sweden,Germany,0
1998,Sweden,Malta,6
1998,Sweden,Hungary,0
1998,Sweden,Slovenia,0
1998,Sweden,Ireland,1
1998,Sweden,Portugal,0
1998,Sweden,Romania,0
1998,Sweden,United Kingdom,7
1998,Sweden,Cyprus,0
1998,Sweden,Netherlands,8
1998,Sweden,Belgium,2
1998,Sweden,Finland,10
1998,Sweden,Norway,12
1998,Sweden,Estonia,4
1998,Sweden,Turkey,0
1998,Sweden,Macedonia,0
1998,Switzerland,Croatia,5
1998,Switzerland,Greece,0
1998,Switzerland,France,0
1998,Switzerland,Spain,6
1998,Switzerland,Slovakia,0
1998,Switzerland,Poland,0
1998,Switzerland,Israel,10
1998,Switzerland,Germany,12
1998,Switzerland,Malta,8
1998,Switzerland,Hungary,0
1998,Switzerland,Slovenia,0
1998,Switzerland,Ireland,2
1998,Switzerland,Portugal,0
1998,Switzerland,Romania,0
1998,Switzerland,United Kingdom,3
1998,Switzerland,Cyprus,0
1998,Switzerland,Netherlands,7
1998,Switzerland,Sweden,0
1998,Switzerland,Belgium,4
1998,Switzerland,Finland,0
1998,Switzerland,Norway,1
1998,Switzerland,Estonia,0
1998,Switzerland,Turkey,0
1998,Switzerland,Macedonia,0
1998,Turkey,Croatia,4
1998,Turkey,Greece,0
1998,Turkey,France,0
1998,Turkey,Spain,0
1998,Turkey,Switzerland,0
1998,Turkey,Slovakia,0
1998,Turkey,Poland,0
1998,Turkey,Israel,5
1998,Turkey,Germany,0
1998,Turkey,Malta,10
1998,Turkey,Hungary,0
1998,Turkey,Slovenia,3
1998,Turkey,Ireland,8
1998,Turkey,Portugal,6
1998,Turkey,Romania,0
1998,Turkey,United Kingdom,12
1998,Turkey,Cyprus,0
1998,Turkey,Netherlands,7
1998,Turkey,Sweden,2
1998,Turkey,Belgium,1
1998,Turkey,Finland,0
1998,Turkey,Norway,0
1998,Turkey,Estonia,0
1998,Turkey,Macedonia,0
1998,United Kingdom,Croatia,2
1998,United Kingdom,Greece,0
1998,United Kingdom,France,0
1998,United Kingdom,Spain,0
1998,United Kingdom,Switzerland,0
1998,United Kingdom,Slovakia,0
1998,United Kingdom,Poland,0
1998,United Kingdom,Israel,5
1998,United Kingdom,Germany,6
1998,United Kingdom,Malta,12
1998,United Kingdom,Hungary,0
1998,United Kingdom,Slovenia,0
1998,United Kingdom,Ireland,8
1998,United Kingdom,Portugal,0
1998,United Kingdom,Romania,0
1998,United Kingdom,Cyprus,3
1998,United Kingdom,Netherlands,10
1998,United Kingdom,Sweden,1
1998,United Kingdom,Belgium,7
1998,United Kingdom,Finland,0
1998,United Kingdom,Norway,4
1998,United Kingdom,Estonia,0
1998,United Kingdom,Turkey,0
1998,United Kingdom,Macedonia,0
1999,Austria,Lithuania,0
1999,Austria,Belgium,0
1999,Austria,Spain,0
1999,Austria,Croatia,8
1999,Austria,United Kingdom,0
1999,Austria,Slovenia,0
1999,Austria,Turkey,0
1999,Austria,Norway,0
1999,Austria,Denmark,5
1999,Austria,France,0
1999,Austria,Netherlands,4
1999,Austria,Poland,0
1999,Austria,Iceland,2
1999,Austria,Cyprus,0
1999,Austria,Sweden,6
1999,Austria,Portugal,0
1999,Austria,Ireland,0
1999,Austria,Israel,1
1999,Austria,Malta,7
1999,Austria,Germany,10
1999,Austria,Bosnia-Herzegovina,12
1999,Austria,Estonia,3
1999,Belgium,Lithuania,0
1999,Belgium,Spain,0
1999,Belgium,Croatia,5
1999,Belgium,United Kingdom,0
1999,Belgium,Slovenia,2
1999,Belgium,Turkey,0
1999,Belgium,Norway,0
1999,Belgium,Denmark,0
1999,Belgium,France,0
1999,Belgium,Netherlands,12
1999,Belgium,Poland,0
1999,Belgium,Iceland,8
1999,Belgium,Cyprus,0
1999,Belgium,Sweden,7
1999,Belgium,Portugal,0
1999,Belgium,Ireland,0
1999,Belgium,Austria,6
1999,Belgium,Israel,3
1999,Belgium,Malta,0
1999,Belgium,Germany,10
1999,Belgium,Bosnia-Herzegovina,1
1999,Belgium,Estonia,4
1999,Bosnia-Herzegovina,Lithuania,0
1999,Bosnia-Herzegovina,Belgium,0
1999,Bosnia-Herzegovina,Spain,0
1999,Bosnia-Herzegovina,Croatia,8
1999,Bosnia-Herzegovina,United Kingdom,1
1999,Bosnia-Herzegovina,Slovenia,5
1999,Bosnia-Herzegovina,Turkey,0
1999,Bosnia-Herzegovina,Norway,0
1999,Bosnia-Herzegovina,Denmark,0
1999,Bosnia-Herzegovina,France,0
1999,Bosnia-Herzegovina,Netherlands,4
1999,Bosnia-Herzegovina,Poland,6
1999,Bosnia-Herzegovina,Iceland,0
1999,Bosnia-Herzegovina,Cyprus,0
1999,Bosnia-Herzegovina,Sweden,12
1999,Bosnia-Herzegovina,Portugal,0
1999,Bosnia-Herzegovina,Ireland,0
1999,Bosnia-Herzegovina,Austria,0
1999,Bosnia-Herzegovina,Israel,2
1999,Bosnia-Herzegovina,Malta,7
1999,Bosnia-Herzegovina,Germany,10
1999,Bosnia-Herzegovina,Estonia,3
1999,Croatia,Lithuania,2
1999,Croatia,Belgium,4
1999,Croatia,Spain,1
1999,Croatia,United Kingdom,5
1999,Croatia,Slovenia,12
1999,Croatia,Turkey,0
1999,Croatia,Norway,7
1999,Croatia,Denmark,0
1999,Croatia,France,0
1999,Croatia,Netherlands,0
1999,Croatia,Poland,0
1999,Croatia,Iceland,0
1999,Croatia,Cyprus,0
1999,Croatia,Sweden,0
1999,Croatia,Portugal,0
1999,Croatia,Ireland,0
1999,Croatia,Austria,0
1999,Croatia,Israel,8
1999,Croatia,Malta,6
1999,Croatia,Germany,3
1999,Croatia,Bosnia-Herzegovina,10
1999,Croatia,Estonia,0
1999,Cyprus,Lithuania,5
1999,Cyprus,Belgium,0
1999,Cyprus,Spain,0
1999,Cyprus,Croatia,2
1999,Cyprus,United Kingdom,4
1999,Cyprus,Slovenia,0
1999,Cyprus,Turkey,0
1999,Cyprus,Norway,7
1999,Cyprus,Denmark,8
1999,Cyprus,France,0
1999,Cyprus,Netherlands,0
1999,Cyprus,Poland,0
1999,Cyprus,Iceland,12
1999,Cyprus,Sweden,6
1999,Cyprus,Portugal,0
1999,Cyprus,Ireland,0
1999,Cyprus,Austria,1
1999,Cyprus,Israel,10
1999,Cyprus,Malta,3
1999,Cyprus,Germany,0
1999,Cyprus,Bosnia-Herzegovina,0
1999,Cyprus,Estonia,0
1999,Denmark,Lithuania,0
1999,Denmark,Belgium,0
1999,Denmark,Spain,0
1999,Denmark,Croatia,0
1999,Denmark,United Kingdom,1
1999,Denmark,Slovenia,0
1999,Denmark,Turkey,0
1999,Denmark,Norway,6
1999,Denmark,France,0
1999,Denmark,Netherlands,7
1999,Denmark,Poland,0
1999,Denmark,Iceland,12
1999,Denmark,Cyprus,0
1999,Denmark,Sweden,10
1999,Denmark,Portugal,0
1999,Denmark,Ireland,0
1999,Denmark,Austria,3
1999,Denmark,Israel,2
1999,Denmark,Malta,0
1999,Denmark,Germany,5
1999,Denmark,Bosnia-Herzegovina,8
1999,Denmark,Estonia,4
1999,Estonia,Lithuania,2
1999,Estonia,Belgium,5
1999,Estonia,Spain,0
1999,Estonia,Croatia,3
1999,Estonia,United Kingdom,0
1999,Estonia,Slovenia,0
1999,Estonia,Turkey,0
1999,Estonia,Norway,0
1999,Estonia,Denmark,6
1999,Estonia,France,0
1999,Estonia,Netherlands,0
1999,Estonia,Poland,0
1999,Estonia,Iceland,10
1999,Estonia,Cyprus,0
1999,Estonia,Sweden,12
1999,Estonia,Portugal,0
1999,Estonia,Ireland,0
1999,Estonia,Austria,8
1999,Estonia,Israel,4
1999,Estonia,Malta,1
1999,Estonia,Germany,7
1999,Estonia,Bosnia-Herzegovina,0
1999,France,Lithuania,0
1999,France,Belgium,2
1999,France,Spain,0
1999,France,Croatia,7
1999,France,United Kingdom,0
1999,France,Slovenia,1
1999,France,Turkey,5
1999,France,Norway,0
1999,France,Denmark,0
1999,France,Netherlands,0
1999,France,Poland,0
1999,France,Iceland,0
1999,France,Cyprus,0
1999,France,Sweden,3
1999,France,Portugal,12
1999,France,Ireland,0
1999,France,Austria,0
1999,France,Israel,10
1999,France,Malta,0
1999,France,Germany,8
1999,France,Bosnia-Herzegovina,6
1999,France,Estonia,4
1999,Germany,Lithuania,0
1999,Germany,Belgium,0
1999,Germany,Spain,0
1999,Germany,Croatia,10
1999,Germany,United Kingdom,0
1999,Germany,Slovenia,0
1999,Germany,Turkey,12
1999,Germany,Norway,0
1999,Germany,Denmark,0
1999,Germany,France,0
1999,Germany,Netherlands,0
1999,Germany,Poland,4
1999,Germany,Iceland,3
1999,Germany,Cyprus,0
1999,Germany,Sweden,2
1999,Germany,Portugal,0
1999,Germany,Ireland,0
1999,Germany,Austria,5
1999,Germany,Israel,7
1999,Germany,Malta,1
1999,Germany,Bosnia-Herzegovina,8
1999,Germany,Estonia,6
1999,Iceland,Lithuania,0
1999,Iceland,Belgium,0
1999,Iceland,Spain,0
1999,Iceland,Croatia,4
1999,Iceland,United Kingdom,0
1999,Iceland,Slovenia,0
1999,Iceland,Turkey,0
1999,Iceland,Norway,7
1999,Iceland,Denmark,12
1999,Iceland,France,0
1999,Iceland,Netherlands,6
1999,Iceland,Poland,0
1999,Iceland,Cyprus,0
1999,Iceland,Sweden,10
1999,Iceland,Portugal,0
1999,Iceland,Ireland,0
1999,Iceland,Austria,8
1999,Iceland,Israel,1
1999,Iceland,Malta,0
1999,Iceland,Germany,5
1999,Iceland,Bosnia-Herzegovina,3
1999,Iceland,Estonia,2
1999,Ireland,Lithuania,0
1999,Ireland,Belgium,10
1999,Ireland,Spain,0
1999,Ireland,Croatia,6
1999,Ireland,United Kingdom,0
1999,Ireland,Slovenia,12
1999,Ireland,Turkey,0
1999,Ireland,Norway,3
1999,Ireland,Denmark,7
1999,Ireland,France,2
1999,Ireland,Netherlands,1
1999,Ireland,Poland,0
1999,Ireland,Iceland,4
1999,Ireland,Cyprus,0
1999,Ireland,Sweden,5
1999,Ireland,Portugal,0
1999,Ireland,Austria,0
1999,Ireland,Israel,0
1999,Ireland,Malta,0
1999,Ireland,Germany,0
1999,Ireland,Bosnia-Herzegovina,0
1999,Ireland,Estonia,8
1999,Israel,Lithuania,3
1999,Israel,Belgium,5
1999,Israel,Spain,0
1999,Israel,Croatia,7
1999,Israel,United Kingdom,4
1999,Israel,Slovenia,0
1999,Israel,Turkey,0
1999,Israel,Norway,0
1999,Israel,Denmark,2
1999,Israel,France,0
1999,Israel,Netherlands,6
1999,Israel,Poland,0
1999,Israel,Iceland,10
1999,Israel,Cyprus,0
1999,Israel,Sweden,8
1999,Israel,Portugal,0
1999,Israel,Ireland,0
1999,Israel,Austria,0
1999,Israel,Malta,0
1999,Israel,Germany,12
1999,Israel,Bosnia-Herzegovina,0
1999,Israel,Estonia,1
1999,Lithuania,Belgium,0
1999,Lithuania,Spain,0
1999,Lithuania,Croatia,6
1999,Lithuania,United Kingdom,5
1999,Lithuania,Slovenia,10
1999,Lithuania,Turkey,0
1999,Lithuania,Norway,0
1999,Lithuania,Denmark,0
1999,Lithuania,France,2
1999,Lithuania,Netherlands,4
1999,Lithuania,Poland,7
1999,Lithuania,Iceland,8
1999,Lithuania,Cyprus,0
1999,Lithuania,Sweden,3
1999,Lithuania,Portugal,0
1999,Lithuania,Ireland,12
1999,Lithuania,Austria,0
1999,Lithuania,Israel,0
1999,Lithuania,Malta,0
1999,Lithuania,Germany,0
1999,Lithuania,Bosnia-Herzegovina,0
1999,Lithuania,Estonia,1
1999,Malta,Lithuania,1
1999,Malta,Belgium,0
1999,Malta,Spain,0
1999,Malta,Croatia,5
1999,Malta,United Kingdom,8
1999,Malta,Slovenia,0
1999,Malta,Turkey,0
1999,Malta,Norway,0
1999,Malta,Denmark,4
1999,Malta,France,0
1999,Malta,Netherlands,2
1999,Malta,Poland,0
1999,Malta,Iceland,10
1999,Malta,Cyprus,0
1999,Malta,Sweden,12
1999,Malta,Portugal,0
1999,Malta,Ireland,0
1999,Malta,Austria,0
1999,Malta,Israel,6
1999,Malta,Germany,3
1999,Malta,Bosnia-Herzegovina,0
1999,Malta,Estonia,7
1999,Netherlands,Lithuania,0
1999,Netherlands,Belgium,10
1999,Netherlands,Spain,0
1999,Netherlands,Croatia,1
1999,Netherlands,United Kingdom,0
1999,Netherlands,Slovenia,6
1999,Netherlands,Turkey,0
1999,Netherlands,Norway,0
1999,Netherlands,Denmark,0
1999,Netherlands,France,0
1999,Netherlands,Poland,0
1999,Netherlands,Iceland,7
1999,Netherlands,Cyprus,0
1999,Netherlands,Sweden,8
1999,Netherlands,Portugal,0
1999,Netherlands,Ireland,0
1999,Netherlands,Austria,2
1999,Netherlands,Israel,4
1999,Netherlands,Malta,0
1999,Netherlands,Germany,12
1999,Netherlands,Bosnia-Herzegovina,3
1999,Netherlands,Estonia,5
1999,Norway,Lithuania,0
1999,Norway,Belgium,0
1999,Norway,Spain,0
1999,Norway,Croatia,0
